zcta,year,NAME,total_population,hh_total,hh_income_100_124k,hh_income_125_149k,hh_income_150_174k,hh_income_175_199k,hh_income_200k_plus,male_25_29,male_30_34,male_35_39,male_40_44,female_25_29,female_30_34,female_35_39,female_40_44,median_home_value,median_gross_rent,total_households,total_housing_units,owner_occupied_units,renter_occupied_units,pop_25_44,pct_pop_25_44,hh_income_100k_plus,pct_hh_income_100k_plus,home_value_to_income_ratio,pct_owner_occupied,demand_supply_gap,units_per_target_hh
93252,2019,ZCTA5 93252,2488,569,56,3,3,20,15,138,260,131,205,51,45,20,26,103800,795,569,757,305,264,876,35.21,97,17.05,1.038,40.29,-208,7.804123711340206
93270,2019,ZCTA5 93270,5367,1627,78,80,81,51,101,173,128,264,319,89,151,131,243,194900,808,1627,1777,1017,610,1498,27.91,391,24.03,1.949,57.23,-626,4.544757033248082
93291,2019,ZCTA5 93291,59270,17429,2504,1182,1242,1218,1376,2333,1980,2083,2450,2136,2346,1926,1871,267200,994,17429,18345,10607,6822,17125,28.89,7522,43.16,2.672,57.82,-3085,2.438846051582026
93304,2019,ZCTA5 93304,49115,14981,1413,510,272,500,174,2149,1967,1521,1305,2250,1949,1165,1632,158600,952,14981,16084,6662,8319,13938,28.38,2869,19.15,1.586,41.42,-3793,5.6061345416521435
93306,2019,ZCTA5 93306,72280,21865,2674,1774,1319,1150,1063,2612,2129,2488,1887,2414,3059,2115,1783,196800,1032,21865,23389,13914,7951,18487,25.58,7980,36.5,1.968,59.49,-5934,2.9309523809523808
93307,2019,ZCTA5 93307,86832,22585,2028,1590,645,188,243,3803,3346,2473,2455,3243,3017,2920,2434,160900,960,22585,24269,11673,10912,23691,27.28,4694,20.78,1.609,48.1,-6979,5.170217298679165
90716,2019,ZCTA5 90716,14285,3670,488,245,155,75,68,442,641,409,372,553,495,398,557,366400,1403,3670,3866,1518,2152,3867,27.07,1031,28.09,3.664,39.27,-487,3.749757516973812
90717,2019,ZCTA5 90717,21508,8477,928,1037,540,746,724,590,943,541,595,805,979,763,526,603200,1377,8477,8872,3965,4512,5742,26.7,3975,46.89,6.032,44.69,10,2.231949685534591
90731,2019,ZCTA5 90731,60659,22695,2337,1827,1299,1415,1550,2216,2433,2166,2241,2197,2484,2021,1934,590700,1330,22695,24573,7307,15388,17692,29.17,8428,37.14,5.907,29.74,1121,2.915638348362601
90744,2019,ZCTA5 90744,56880,14788,1885,1178,662,612,416,2308,1980,2011,1938,2376,2212,2007,1516,397700,1146,14788,15405,5397,9391,16348,28.74,4753,32.14,3.977,35.03,-644,3.241110877340627
