zcta,demand_supply_gap_2019,demand_supply_gap_2021,demand_supply_gap_2022,demand_supply_gap_2023,pct_hh_income_100k_plus_2019,pct_hh_income_100k_plus_2021,pct_hh_income_100k_plus_2022,pct_hh_income_100k_plus_2023,pct_pop_25_44_2019,pct_pop_25_44_2021,pct_pop_25_44_2022,pct_pop_25_44_2023,total_population_2019,total_population_2021,total_population_2022,total_population_2023,units_per_target_hh_2019,units_per_target_hh_2021,units_per_target_hh_2022,units_per_target_hh_2023,pct_pop_25_44_change_19_23,pct_pop_25_44_pct_change_19_23,pct_hh_income_100k_plus_change_19_23,pct_hh_income_100k_plus_pct_change_19_23,total_population_change_19_23,total_population_pct_change_19_23,demand_supply_gap_change_19_23,demand_supply_gap_pct_change_19_23,units_per_target_hh_change_19_23,units_per_target_hh_pct_change_19_23,score_density,score_growth,score_affordability,score_penetration,opportunity_score,investment_tier,rationale
95699,-18.0,0.0,6.0,6.0,10.0,100.0,100.0,100.0,0.0,0.0,43.33,24.42,21.0,13.0,60.0,86.0,10.0,1.0,1.0,1.3478260869565217,24.42,inf,90.0,900.0,65.0,309.52,24.0,-133.33,-8.652173913043478,-86.52173913043478,100.0,95.0,50.0,95.04,85.51,BUILD NOW,"ZIP 95699: 100% high-income households, -86.5 units/target HH -- large pool, tight supply."
96751,-39.0,4.0,9.0,35.0,15.79,54.55,58.18,100.0,19.42,45.11,43.23,66.35,103.0,133.0,155.0,104.0,9.11111111111111,2.5416666666666665,2.25,1.4857142857142858,46.93,241.66,84.21,533.31,1.0,0.97,74.0,-189.74,-7.625396825396825,-83.69337979094077,100.0,92.1,50.0,93.54,84.56,BUILD NOW,"ZIP 96751: 100% high-income households, -83.7 units/target HH -- large pool, tight supply."
98571,-27.0,0.0,0.0,23.0,10.11,0.0,0.0,100.0,15.47,0.0,0.0,0.0,278.0,77.0,76.0,52.0,40.333333333333336,,,17.130434782608695,-15.47,-100.0,89.89,889.12,-226.0,-81.29,50.0,-185.19,-23.20289855072464,-57.527847646424725,100.0,94.94,50.0,79.7,83.19,BUILD NOW,"ZIP 98571: 100% high-income households, -57.5 units/target HH -- large pool, tight supply."
95248,-36.0,0.0,0.0,0.0,16.07,0.0,45.16,100.0,10.38,42.11,41.51,46.97,106.0,38.0,106.0,66.0,20.555555555555557,,10.0,7.066666666666666,36.59,352.5,83.93,522.28,-40.0,-37.74,36.0,-100.0,-13.48888888888889,-65.62162162162163,100.0,91.96,50.0,83.98,83.09,BUILD NOW,"ZIP 95248: 100% high-income households, -65.6 units/target HH -- large pool, tight supply."
95625,8.0,51.0,65.0,76.0,23.88,52.94,100.0,100.0,9.46,48.03,72.73,25.4,74.0,152.0,88.0,248.0,4.1875,1.8888888888888888,1.0,1.0,15.94,168.5,76.12,318.76,174.0,235.14,68.0,850.0,-3.1875,-76.11940298507463,100.0,88.06,50.0,89.53,82.94,BUILD NOW,"ZIP 95625: 100% high-income households, -76.1 units/target HH -- large pool, tight supply."
96759,33.0,45.0,46.0,50.0,27.5,52.94,50.55,100.0,0.0,0.0,0.0,0.0,315.0,261.0,277.0,202.0,3.6363636363636362,1.8888888888888888,1.9782608695652173,1.0,0.0,,72.5,263.64,-113.0,-35.87,17.0,51.52,-2.6363636363636362,-72.5,100.0,86.25,50.0,87.62,82.21,BUILD NOW,"ZIP 96759: 100% high-income households, -72.5 units/target HH -- large pool, tight supply."
95013,-15.0,-9.0,0.0,0.0,0.0,50.0,100.0,100.0,60.0,33.33,0.0,0.0,85.0,27.0,53.0,42.0,,2.0,1.0,1.0,-60.0,-100.0,100.0,inf,-43.0,-50.59,15.0,-100.0,,,100.0,100.0,50.0,60.17,81.53,BUILD NOW,"ZIP 95013: 100% high-income households, 999.0 units/target HH -- large pool, tight supply."
98330,-67.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,19.61,100.0,100.0,100.0,102.0,22.0,24.0,24.0,,8.272727272727273,7.666666666666667,4.5,80.39,409.94,100.0,inf,-78.0,-76.47,67.0,-100.0,,,100.0,100.0,50.0,60.17,81.53,BUILD NOW,"ZIP 98330: 100% high-income households, 999.0 units/target HH -- large pool, tight supply."
99647,-11.0,-9.0,-4.0,0.0,0.0,0.0,60.0,100.0,45.16,27.78,7.69,14.29,31.0,18.0,13.0,14.0,,,7.5,5.1,-30.87,-68.36,100.0,inf,-17.0,-54.84,11.0,-100.0,,,100.0,100.0,50.0,60.17,81.53,BUILD NOW,"ZIP 99647: 100% high-income households, 999.0 units/target HH -- large pool, tight supply."
97028,-29.0,-87.0,-45.0,14.0,43.81,0.0,45.7,100.0,15.62,16.78,14.74,4.0,192.0,143.0,190.0,150.0,22.065217391304348,,10.072463768115941,6.14,-11.62,-74.39,56.19,128.26,-42.0,-21.88,43.0,-148.28,-15.925217391304347,-72.17339901477833,100.0,78.1,50.0,87.45,80.14,BUILD NOW,"ZIP 97028: 100% high-income households, -72.2 units/target HH -- large pool, tight supply."
95715,-15.0,-10.0,-8.0,0.0,38.89,52.38,80.95,100.0,14.42,11.84,7.27,14.12,104.0,76.0,110.0,85.0,11.285714285714286,12.818181818181818,4.617647058823529,4.516129032258065,-0.3,-2.08,61.11,157.14,-19.0,-18.27,15.0,-100.0,-6.7695852534562215,-59.983666802776646,100.0,80.56,50.0,81.0,79.79,BUILD NOW,"ZIP 95715: 100% high-income households, -60.0 units/target HH -- large pool, tight supply."
95493,-109.0,-41.0,-52.0,-3.0,16.94,10.87,23.53,91.18,0.0,0.0,29.17,16.48,377.0,79.0,144.0,91.0,5.903225806451613,9.2,4.25,1.4838709677419355,16.48,inf,74.24,438.25,-286.0,-75.86,106.0,-97.25,-4.419354838709678,-74.86338797814209,91.18,87.12,50.0,88.87,79.52,BUILD NOW,"ZIP 95493: 91% high-income households, -74.9 units/target HH -- large pool, tight supply."
